1,L_lateralventricle,HarvardOxford-combined-prob-0000.nii.gz,0001-L_lateralventricle-ts.txt
2,L_thalamus,HarvardOxford-combined-prob-0001.nii.gz,0002-L_thalamus-ts.txt
3,L_caudate,HarvardOxford-combined-prob-0002.nii.gz,0003-L_caudate-ts.txt
4,L_putamen,HarvardOxford-combined-prob-0003.nii.gz,0004-L_putamen-ts.txt
5,L_pallidum,HarvardOxford-combined-prob-0004.nii.gz,0005-L_pallidum-ts.txt
6,brainstem,HarvardOxford-combined-prob-0005.nii.gz,0006-brainstem-ts.txt
7,L_hippocampus,HarvardOxford-combined-prob-0006.nii.gz,0007-L_hippocampus-ts.txt
8,L_amygdala,HarvardOxford-combined-prob-0007.nii.gz,0008-L_amygdala-ts.txt
9,L_accumbens,HarvardOxford-combined-prob-0008.nii.gz,0009-L_accumbens-ts.txt
10,R_lateralventricle,HarvardOxford-combined-prob-0009.nii.gz,0010-R_lateralventricle-ts.txt
11,R_thalamus,HarvardOxford-combined-prob-0010.nii.gz,0011-R_thalamus-ts.txt
12,R_caudate,HarvardOxford-combined-prob-0011.nii.gz,0012-R_caudate-ts.txt
13,R_putamen,HarvardOxford-combined-prob-0012.nii.gz,0013-R_putamen-ts.txt
14,R_pallidum,HarvardOxford-combined-prob-0013.nii.gz,0014-R_pallidum-ts.txt
15,R_hippocampus,HarvardOxford-combined-prob-0014.nii.gz,0015-R_hippocampus-ts.txt
16,R_amygdala,HarvardOxford-combined-prob-0015.nii.gz,0016-R_amygdala-ts.txt
17,R_accumbens,HarvardOxford-combined-prob-0016.nii.gz,0017-R_accumbens-ts.txt
18,L_frontal_pole,HarvardOxford-combined-prob-0017.nii.gz,0018-L_frontal_pole-ts.txt
19,R_frontal_pole,HarvardOxford-combined-prob-0018.nii.gz,0019-R_frontal_pole-ts.txt
20,L_insula,HarvardOxford-combined-prob-0019.nii.gz,0020-L_insula-ts.txt
21,R_insula,HarvardOxford-combined-prob-0020.nii.gz,0021-R_insula-ts.txt
