1,L_lateralventricle
2,L_thalamus
3,L_caudate
4,L_putamen
5,L_pallidum
7,L_hippocampus
8,L_amygdala
9,L_accumbens
18,L_frontal_pole
20,L_insula
22,L_sup_frontal
24,L_mid_frontal
26,L_inf_frontal_pars_t
28,L_inf_frontal_pars_op
30,L_precentral
32,L_temporal_pole
34,L_sup_temporal_ant
36,L_sup_temporal_post
38,L_mid_temporal_ant
40,L_mid_temporal_post
42,L_mid_temporal_TO
44,L_inf_temporal_ant
46,L_inf_temporal_post
48,L_inf_temporal_TO
50,L_postcentral
52,L_sup_parietal
54,L_supramarginal_ant
56,L_supramarginal_post
58,L_angular
60,L_lat_occipital_sup
62,L_lat_occipital_inf
64,L_intracalcarine
66,L_frontal_medial
68,L_juxtapositional
70,L_subcallosal
72,L_paracingulate
74,L_cingulate_ant
76,L_cingulate_post
78,L_precuneus
80,L_cuneus
82,L_frontal_orbital
84,L_parahippocampal_ant
86,L_parahippocampal_post
88,L_lingual
90,L_temporal_fusiform_ant
92,L_temporal_fusiform_post
94,L_temporal_fusiform_TO
96,L_occipital_fusiform
98,L_frontal_operculum
100,L_central_operculum
102,L_parietal_operculum
104,L_planum_polare
106,L_heschl
108,L_planum_temporale
110,L_supracalcarine
112,L_occipital_pole
